Date,"Bitcoin","Cryptocurrency","Blockchain","Happiness","Psychology","Big data"
2015-09-01,9295,1045,186,1715,8518,5073
2015-09-02,8402,933,130,1456,6280,5422
2015-09-03,7967,958,78,1313,6608,5206
2015-09-04,6925,815,98,1121,5381,4541
2015-09-05,5814,624,42,1002,4233,2782
2015-09-06,6183,635,71,1213,4788,3624
2015-09-07,7366,863,71,1317,5433,5367
2015-09-08,8373,1128,98,1470,6631,5896
2015-09-09,7966,1008,108,1434,6627,5719
2015-09-10,8087,913,102,1265,6363,5620
2015-09-11,7807,844,83,1180,5428,5077
2015-09-12,6732,674,36,1070,4240,3187
2015-09-13,6759,703,49,1273,4892,3404
2015-09-14,9968,1035,106,1405,6031,5958
2015-09-15,8844,1044,151,1448,6009,5702
2015-09-16,8529,1044,228,1280,5892,5112
2015-09-17,8761,1042,197,1323,5920,5098
2015-09-18,9291,925,139,1224,4954,4812
2015-09-19,7344,700,45,1091,4371,3161
2015-09-20,7185,700,52,1363,4686,3131
2015-09-21,8482,1008,116,1350,5725,5532
2015-09-22,9391,995,112,1409,5530,5597
2015-09-23,40016,851,133,1738,5538,5581
2015-09-24,7567,866,120,1344,5211,5138
2015-09-25,9114,836,110,1189,4492,4275
2015-09-26,5945,610,48,1058,3845,3133
2015-09-27,6308,707,64,1309,4514,3135
2015-09-28,7258,961,105,1482,5832,5529
2015-09-29,7439,1110,108,1457,5543,6014
2015-09-30,7521,1015,136,1421,5609,5630
2015-10-01,6915,904,100,1345,5130,5385
2015-10-02,6633,789,90,1215,4708,4236
2015-10-03,5799,672,39,1130,3933,3095
2015-10-04,6556,769,83,1380,4408,3398
2015-10-05,7937,960,135,1441,5513,5537
2015-10-06,10580,1154,158,1409,5681,6010
2015-10-07,9002,1077,139,1613,5612,6153
2015-10-08,7988,930,110,1441,5351,6338
2015-10-09,6977,830,95,1268,4879,6285
2015-10-10,5760,1042,39,1172,4337,3816
2015-10-11,6282,1028,42,1362,4637,3403
2015-10-12,7768,980,103,1485,5428,6415
2015-10-13,7733,1190,109,1436,5708,6379
2015-10-14,9130,935,143,1578,5810,5750
2015-10-15,7470,980,125,1416,5729,5568
2015-10-16,6956,904,105,1354,5255,4717
2015-10-17,5901,754,35,1178,4307,4412
2015-10-18,6319,845,39,1337,4468,3203
2015-10-19,8297,935,122,1489,6048,5495
2015-10-20,8665,957,105,1456,5826,5345
2015-10-21,8204,1086,125,1434,5639,6640
2015-10-22,8587,865,125,1396,5635,4476
2015-10-23,8024,1057,114,1255,4815,4360
2015-10-24,6160,834,38,1282,3804,2931
2015-10-25,6783,903,41,1330,4432,3323
2015-10-26,8519,1465,93,1340,5181,5396
2015-10-27,9033,1134,113,1475,5295,5662
2015-10-28,9695,1066,96,1407,5121,5461
2015-10-29,10211,1174,175,1412,4994,5704
2015-10-30,9029,883,200,1213,4316,4592
2015-10-31,6855,790,122,1087,3561,2920
2015-11-01,8294,890,151,1254,4254,3177
2015-11-02,10020,1145,237,1634,5400,5354
2015-11-03,11545,1204,251,1456,5694,5181
2015-11-04,14390,1440,206,1444,5793,5509
2015-11-05,16294,1325,218,1473,6134,5732
2015-11-06,11448,1120,197,1366,5083,4399
2015-11-07,8075,741,86,1289,4897,2914
2015-11-08,7956,836,76,1190,4816,3248
2015-11-09,11166,1077,202,1413,6169,4779
2015-11-10,10928,1125,161,1450,6534,4579
2015-11-11,9358,988,164,1486,6473,4433
2015-11-12,9258,1376,144,1405,6407,4961
2015-11-13,8749,898,145,1215,5384,4455
2015-11-14,6794,705,71,1209,4450,2768
2015-11-15,7023,790,68,1244,5167,3114
2015-11-16,8825,994,147,1456,6507,4915
2015-11-17,9949,1022,120,1624,6594,5772
